id,name,description,age_range,scope,website,deadline,location
1,Regeneron International Science and Engineering Fair (ISEF),"The world's largest international pre-college science competition, where students present their independent research projects.",High School (Grades 9-12),International,https://www.societyforscience.org/isef/,"Varies by affiliated fair, typically Nov-Jan",Varies Annually (USA)
2,Regeneron Science Talent Search (STS),"The United States' most prestigious and oldest science and math research competition for high school seniors.",High School Seniors,National (USA),https://www.societyforscience.org/regeneron-sts/,"Early November",Washington, D.C., USA
3,International Mathematical Olympiad (IMO),"The world championship mathematics competition for high school students, held annually in a different country.",High School Students,International,https://www.imo-official.org/,"Varies by country",Varies Annually
4,International Physics Olympiad (IPhO),"An annual international physics competition for secondary school students.",High School Students,International,http://www.ipho-new.org/,"Varies by country",Varies Annually
5,International Chemistry Olympiad (IChO),"An annual academic competition for high school students, testing their chemistry knowledge and skills.",High School Students,International,https://www.icho.sk/,"Varies by country",Varies Annually
6,International Biology Olympiad (IBO),"The world's premier science olympiad for high school students, testing practical and theoretical biology skills.",High School Students (16-19),International,https://www.ibo-info.org/,"Varies by country",Varies Annually
7,International Olympiad in Informatics (IOI),"One of the most prestigious computer science competitions in the world for secondary school students.",Secondary School Students,International,https://ioinformatics.org/,"Varies by country",Varies Annually
8,FIRST Robotics Competition,"An international robotics competition where high school teams design, build, and program robots to compete in a themed game.",High School (14-18),International,https://www.firstinspires.org/robotics/frc,"Varies by region, typically Dec-Jan",Multiple Regional Events; Championship in USA
9,Google Science Fair,"A defunct global online science and engineering competition that encouraged teenagers to solve real-world problems using science, technology, engineering, and math.",13-18,International,https://www.googlesciencefair.com/,"Previously May",Online
10,Microsoft Imagine Cup,"A global technology competition for students, where they create innovative applications, games, and solutions.",Students (16+),International,https://imaginecup.microsoft.com/,"Varies, typically early in the year",Online & In-person Finals
11,Conrad Challenge,"An annual, multi-phase innovation and entrepreneurial competition that encourages students to develop solutions to global problems.",13-18,International,https://www.conradchallenge.org/,"Early November",Houston, TX, USA
12,Davidson Fellows Scholarship,"A scholarship program that awards students 18 or under who have completed a significant piece of work.",Under 18,National (USA),https://www.davidsongifted.org/fellows-scholarship,"February",Washington, D.C., USA
13,Breakthrough Junior Challenge,"A global science video competition where students explain a big idea in physics, life sciences, or mathematics in an engaging way.",13-18,International,https://breakthroughjuniorchallenge.org/,"June",Palo Alto, CA, USA
14,National Science Bowl,"A nationwide academic competition in the U.S. that tests students' knowledge in all areas of science and mathematics.",Middle & High School Students,National (USA),https://science.osti.gov/wdts/nsb,"Varies by region, typically Oct-Jan",Washington, D.C., USA
15,Science Olympiad,"A nationwide team-based science competition where students compete in 23 events covering various scientific disciplines.",Elementary, Middle, & High School,National (USA),https://www.soinc.org/,"Varies by state",Varies by state; National tournament location varies
16,VEX Robotics Competition,"The world's largest robotics competition for students from elementary to university levels.",Elementary, Middle School, High School, University,International,https://www.vexrobotics.com/competition,"Varies by event",Multiple local, regional, and national events; World Championship in USA
17,F1 in Schools,"A global STEM competition where students design, manufacture, test, and race miniature F1 cars.",9-19,International,https://www.f1inschools.com/,"Varies by country",Varies Annually
